timestamp,total_energy,Tout,Tin,RH,hour,hour_sin,hour_cos,max_Tout,min_Tout,avg_Tout,Tout_hourly_mean,Tout_std,total_energy_smoothed,energy_rolling_mean,energy_daily,energy_rolling_std,is_weekend,season,month,spike,total_energy_max,total_energy_min,daily_energy_diff,cluster_kmeans,cluster_gmm,cluster_dbscan,baseline_load,baseline_load_gmm,hvac_load,hvac_load_gmm,baseline_load_dbscan,hvac_load_db,heat_pump_active
2024-09-03 20:30:00,236.70000000000002,17.831818181818182,28.62110824588888,28.63200743983334,20,-0.8660254037844386,0.5000000000000001,24.4,13.4,18.22523674242424,18.025,0.2732003472747306,169.22,227.385,178.69875000000002,13.173399333429707,0,3,9,18.6300000000002,352.97,106.03,246.94000000000003,0,2,2,112.53,236.70000000000002,67.905,0.0,112.53,124.17000000000002,True
2024-09-03 21:00:00,225.8,17.445454545454545,27.981275632111146,29.342185009999987,21,-0.7071067811865477,0.7071067811865474,24.4,13.4,18.26055871212121,17.63863636363636,0.27320034727464515,169.22,231.25,179.34875,7.70746391480516,0,3,9,-10.900000000000064,352.97,106.03,246.94000000000003,0,2,2,112.53,225.8,57.004999999999995,0.0,112.53,113.27000000000001,True
2024-09-03 21:30:00,159.2,17.05909090909091,27.84038610377783,33.88449991000001,21,-0.7071067811865477,0.7071067811865474,24.4,13.4,18.29599116161616,17.252272727272725,0.2732003472745597,169.22,192.5,179.34604166666668,47.09331162700123,0,3,9,-66.59999999999994,352.97,106.03,246.94000000000003,0,2,2,112.53,159.2,0.0,0.0,112.53,46.66999999999999,False
2024-09-03 22:00:00,153.03,16.672727272727276,27.59217273005588,31.952990515754184,22,-0.5000000000000004,0.8660254037844384,24.4,13.4,18.33153409090909,16.865909090909085,0.27320034727447434,169.22,156.115,179.62166666666667,4.362848839655372,0,3,9,-6.170000000000082,352.97,106.03,246.94000000000003,0,2,2,112.53,153.03,0.0,0.0,112.53,40.5,False
2024-09-03 22:30:00,148.93,16.286363636363642,27.414330747777782,33.116035672888884,22,-0.5000000000000004,0.8660254037844384,24.4,13.4,18.3671875,16.47954545454545,0.27320034727438514,163.47,150.98000000000002,179.61395833333333,2.899137802461143,0,3,9,-4.100000000000059,352.97,106.03,246.94000000000003,0,2,2,112.53,148.93,0.0,0.0,112.53,36.400000000000006,False
2024-09-03 23:00:00,117.7,15.9,27.27760850105557,33.62174135855556,23,-0.25881904510252157,0.9659258262890681,24.4,13.4,18.40295138888889,16.09318181818182,0.2732003472742979,162.08499999999998,133.315,179.85708333333332,22.082944776401092,0,3,9,-31.22999999999995,352.97,106.87,246.10000000000002,0,2,2,112.53,117.7,0.0,0.0,112.53,5.170000000000002,False
2024-09-03 23:30:00,151.83,16.55,26.90044167855556,33.12847645038891,23,-0.25881904510252157,0.9659258262890681,24.4,13.4,18.460416666666664,16.224999999999998,0.4596194077698947,160.01999999999998,134.76500000000001,180.09541666666667,24.13355444184686,0,3,9,34.129999999999825,352.97,106.87,246.10000000000002,0,2,2,112.53,151.83,0.0,0.0,112.53,39.30000000000001,False
2024-09-04 00:00:00,148.83,17.2,26.57071994188891,33.34604994455554,0,0.0,1.0,24.4,13.566666666666665,18.539583333333333,16.875000000000004,0.4596194077699908,159.285,150.33,180.28791666666666,2.121320343006752,0,3,9,-2.9999999999999405,352.97,106.87,246.10000000000002,0,2,2,112.53,148.83,0.0,0.0,112.53,36.30000000000001,False
2024-09-04 00:30:00,113.5,17.799999999999997,26.331442749166666,33.78233496366665,0,0.0,1.0,24.4,13.733333333333334,18.627777777777776,17.499999999999993,0.424264068710661,156.115,131.16500000000002,180.4260416666667,24.982082579272074,0,3,9,-35.33000000000001,352.97,110.93,242.04000000000002,0,2,2,112.53,113.5,0.0,0.0,112.53,0.9699999999999989,False
2024-09-04 01:00:00,145.07,18.4,26.5704974282778,34.67435491372221,1,0.25881904510252074,0.9659258262890683,24.4,13.9,18.724999999999998,18.099999999999998,0.4242640687107577,152.43,129.285,180.46354166666666,22.32336108200465,0,3,9,31.56999999999993,352.97,110.93,242.04000000000002,0,2,2,112.53,145.07,0.0,0.0,112.53,32.53999999999999,False
2024-09-04 01:30:00,131.93,18.75,27.51849815588889,37.478844727611126,1,0.25881904510252074,0.9659258262890683,24.4,14.066666666666665,18.826041666666665,18.574999999999996,0.24748737341340646,150.465,138.5,180.42520833333333,9.291383104662112,0,3,9,-13.140000000000077,352.97,110.93,242.04000000000002,0,2,2,112.53,131.93,0.0,0.0,112.53,19.400000000000006,False
2024-09-04 02:00:00,106.23,19.1,27.93962542597765,38.38711769491621,2,0.49999999999999994,0.8660254037844387,24.4,14.233333333333334,18.930902777777778,18.924999999999997,0.2474873734134969,149.015,119.08000000000001,180.32729166666664,18.172644276425896,0,3,9,-25.700000000000053,352.97,106.23,246.74,0,2,2,112.53,106.23,0.0,0.0,112.53,0.0,False
