timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h,PMV,PPD,Overall_Comfort
2023-03-03 09:30:00,54.687534477784,0.0,0.0,21.732222218,1.2626666666666668,27.0,0,2.765110804981162,31.288382862258345,9,4,3,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,144.5,97.75,38.645833333333336,2.55,8.85,100.0,90.5,-4.55,3.5092595,0.0,-3.2,21.98,27.02,27.43,27.78333333333333,28.12,26.78333333333333,-20.46955555133333,0.0696295920000018,0.2513333333333334,1.0113333333333334,1.5186666666666666,21.64641977,1.083555555555557,5.158667,5.1417575,5.184237,5.1891103,5.1909747,0,4.0,0,0.0,-0.31,7.0,93.0
2023-03-03 09:45:00,65.787368350002,0.0,0.0,21.98,1.5186666666666666,26.78333333333333,0,2.765110804981162,31.288382862258345,9,4,3,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,178.25,127.625,53.5,2.325,8.225,100.0,87.75,-4.225,3.5749972,0.0,-2.5,22.311111094,27.0,27.02,27.43,27.78333333333333,26.43,-20.46133333333333,0.247777782,0.2559999999999998,1.2626666666666668,2.388,21.791604948,1.2642222222222237,5.1909747,5.158667,5.1417575,5.184237,5.221103,0,4.0,0,0.0,-0.25,6.3,93.7
2023-03-03 10:00:00,74.048704583334,0.0,0.0,22.311111094,2.388,26.43,0,2.765110804981162,31.288382862258345,10,4,3,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,212.0,161.375,71.16666666666667,2.1,7.6,100.0,85.0,-3.9,3.6373181,0.0,-1.8,22.668148156,26.78333333333333,27.0,27.02,27.43,26.016666666666666,-19.923111094,0.3311110940000006,0.8693333333333333,1.5186666666666666,3.071333333333333,22.007777770666667,1.7231111111111126,5.221103,5.1909747,5.158667,5.1417575,5.245925,0,4.0,0,0.0,-0.18,5.7,94.3
2023-03-03 10:15:00,73.318733766668,0.0,0.0,22.668148156,3.071333333333333,26.016666666666666,0,2.765110804981162,31.288382862258345,10,4,3,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,245.75,195.125,91.5625,2.8000000000000003,9.3,100.0,82.0,-3.95,3.6335986,0.0,-1.3,22.975555546,26.43,26.78333333333333,27.0,27.02,25.62,-19.596814822666666,0.3570370619999963,0.6833333333333336,2.388,3.389333333333333,22.31975308333333,2.3260000000000014,5.245925,5.221103,5.1909747,5.158667,5.257719,0,4.0,0,0.0,-0.1,5.2,94.8
2023-03-03 10:30:00,69.348059433328,0.0,0.0,22.975555546,3.389333333333333,25.62,0,2.765110804981162,31.288382862258345,10,4,3,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,279.5,228.875,114.6875,3.5,11.0,100.0,79.0,-4.0,3.6244876,0.0,-0.8,23.106666656,26.016666666666666,26.43,26.78333333333333,27.0,25.496666666666663,-19.58622221266667,0.3074073900000051,0.3179999999999996,3.071333333333333,3.592,22.651604932,2.949555555555557,5.257719,5.245925,5.221103,5.1909747,5.271787,0,4.0,0,0.0,-0.03,5.0,95.0
2023-03-03 10:45:00,54.452544027778,0.0,0.0,23.106666656,3.592,25.496666666666663,0,2.765110804981162,31.288382862258345,10,4,3,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,313.25,262.625,140.54166666666666,4.2,12.7,100.0,76.0,-4.05,3.6096547,0.0,-0.3,23.1111111,25.62,26.016666666666666,26.43,26.78333333333333,25.12,-19.514666656000003,0.1311111099999991,0.2026666666666665,3.389333333333333,3.496,22.91679011933333,3.3508888888888904,5.271787,5.257719,5.245925,5.221103,5.195226,0,4.0,0,0.0,0.0,5.0,95.0
2023-03-03 11:00:00,54.728921772226,0.0,0.0,23.1111111,3.496,25.12,0,2.765110804981162,31.288382862258345,11,4,3,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,347.0,296.375,169.125,4.9,14.4,100.0,73.0,-4.1,3.5887556,0.0,0.2,23.08703705,25.496666666666663,25.62,26.016666666666666,26.43,25.0,-19.6151111,0.0044444439999971,-0.0959999999999996,3.592,3.626,23.064444434,3.492444444444446,5.195226,5.271787,5.257719,5.245925,5.163297,0,4.0,0,0.0,-0.0,5.0,95.0
2023-03-03 11:15:00,54.37893583889,0.0,0.0,23.08703705,3.626,25.0,0,2.765110804981162,31.288382862258345,11,4,3,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,366.5,326.5625,197.8125,5.1000000000000005,15.2,100.0,71.0,-4.199999999999999,3.5692375,0.0,0.525,23.040000032,25.12,25.496666666666663,25.62,26.016666666666666,25.0,-19.46103705,-0.0240740499999994,0.1299999999999999,3.496,3.8466666666666662,23.10160493533333,3.571333333333335,5.163297,5.195226,5.271787,5.257719,5.1494303,0,4.0,0,0.0,-0.01,5.0,95.0
2023-03-03 11:30:00,134.35351447778,0.0,0.0,23.040000032,3.8466666666666662,25.0,0,2.765110804981162,31.288382862258345,11,4,3,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,386.0,353.1875,226.60416666666663,5.300000000000001,16.0,100.0,69.0,-4.3,3.5467916,0.0,0.8500000000000001,22.948888848,25.0,25.12,25.496666666666663,25.62,25.0,-19.19333336533333,-0.0470370179999974,0.2206666666666668,3.626,4.086,23.079382727333336,3.656222222222224,5.1494303,5.163297,5.195226,5.271787,5.1226597,0,4.0,0,0.0,-0.02,5.0,95.0
2023-03-03 11:45:00,54.410323383338,0.0,0.0,22.948888848,4.086,25.0,0,2.765110804981162,31.288382862258345,11,4,3,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,405.5,376.25,255.5,5.5,16.8,100.0,67.0,-4.4,3.5213113,0.0,1.175,22.9444444,25.0,25.0,25.12,25.496666666666663,25.0,-18.862888848,-0.0911111840000025,0.2393333333333336,3.8466666666666662,4.530666666666666,23.02530864333333,3.85288888888889,5.1226597,5.1494303,5.163297,5.195226,5.1213565,0,4.0,0,0.0,-0.04,5.0,95.0
