timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h
2023-02-01 15:15:00,210.778235216666,159.008083872222,159.017527944444,23.30555555,-3.634666666666667,17.65,2,6.522073963971043,89.46283146990821,15,2,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,423.25,471.625,492.4791666666667,16.175,39.625,98.75,48.75,-12.9,1.8276994,0.0,-3.6750000000000003,23.209259256666666,17.5,17.85,18.0,18.05,18.0,-26.94022221666667,-0.2759259666666658,0.050666666666666416,-3.6853333333333333,-3.612,23.530864205555556,-3.6982222222222205,3.6910717,3.7177258,3.8189557,3.854701,3.7436278,0,0.0,0,1.0
2023-02-01 15:30:00,233.87508895556002,210.1590933,210.172426116666,23.209259256666666,-3.612,18.0,2,6.522073963971043,89.46283146990821,15,2,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,366.5,439.375,483.6041666666667,16.35,39.25,98.5,49.5,-12.7,1.8591189,0.0,-3.6500000000000004,23.322222189999998,17.65,17.5,17.85,18.0,18.0,-26.821259256666664,-0.09629629333333511,0.022666666666666835,-3.634666666666667,-3.3233333333333333,23.365432107777778,-3.6439999999999984,3.7436278,3.6910717,3.7177258,3.8189557,3.767847,0,0.0,0,1.0
2023-02-01 15:45:00,235.926951411112,183.079343183334,183.091009366668,23.322222189999998,-3.3233333333333333,18.0,2,6.522073963971043,89.46283146990821,15,2,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,309.75,394.875,468.4166666666667,16.525,38.875,98.25,50.25,-12.5,1.8906438,0.0,-3.625,23.244444416666667,18.0,17.65,17.5,17.85,18.0,-26.645555523333332,0.11296293333333196,0.28866666666666685,-3.612,-3.7226666666666666,23.27901233222222,-3.523333333333331,3.767847,3.7436278,3.6910717,3.7177258,3.7511568,0,0.0,0,1.0
2023-02-01 16:00:00,129.154555827778,104.657480183334,104.664702194442,23.244444416666667,-3.7226666666666666,18.0,2,6.522073963971043,89.46283146990821,16,2,2,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,253.0,338.125,446.9166666666667,16.7,38.5,98.0,51.0,-12.3,1.9222745,0.0,-3.6,22.9222222,18.0,18.0,17.65,17.5,18.0,-26.967111083333332,-0.07777777333333091,-0.3993333333333333,-3.3233333333333333,-3.783333333333333,23.258641954444442,-3.552666666666665,3.7511568,3.767847,3.7436278,3.6910717,3.6826904,0,0.0,0,1.0
2023-02-01 16:15:00,189.9957332,138.926664911112,138.934997894446,22.9222222,-3.783333333333333,18.0,2,6.522073963971043,89.46283146990821,16,2,2,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,218.75,287.0,422.5625,16.5,38.5,97.75,51.5,-12.25,1.9273713,0.0,-3.7,22.82777777,18.0,18.0,18.0,17.65,18.0,-26.70555553333333,-0.32222221666666684,-0.06066666666666665,-3.7226666666666666,-3.7520000000000002,23.162962935555555,-3.6097777777777758,3.6826904,3.7511568,3.767847,3.7436278,3.6628277,0,0.0,0,1.0
2023-02-01 16:30:00,242.853896505558,216.391621755556,216.40551010000001,22.82777777,-3.7520000000000002,18.0,2,6.522073963971043,89.46283146990821,16,2,2,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,184.5,241.5,395.3541666666667,16.3,38.5,97.5,52.0,-12.2,1.9322873,0.0,-3.8,23.116666679999998,18.0,18.0,18.0,18.0,17.85,-26.57977777,-0.09444442999999936,0.03133333333333299,-3.783333333333333,-3.822666666666667,22.99814812888889,-3.7526666666666646,3.6628277,3.6826904,3.7511568,3.767847,3.6928434,0,0.0,0,1.0
2023-02-01 16:45:00,316.237072377772,266.685721044444,266.70433148333,23.116666679999998,-3.822666666666667,17.85,2,6.522073963971043,89.46283146990821,16,2,2,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,150.25,201.625,365.2916666666667,16.1,38.5,97.25,52.5,-12.15,1.9370258,0.0,-3.9,23.516666646666668,18.0,18.0,18.0,18.0,17.5,-26.939333346666665,0.28888890999999717,-0.07066666666666688,-3.7520000000000002,-3.93,22.95555555,-3.785999999999998,3.6928434,3.6628277,3.6826904,3.7511568,3.7040246,0,0.0,0,1.0
2023-02-01 17:00:00,284.608615266664,256.470851888888,256.488351255552,23.516666646666668,-3.93,17.5,2,6.522073963971043,89.46283146990821,17,2,2,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,116.0,167.375,332.375,15.9,38.5,97.0,53.0,-12.1,1.9415877,0.0,-4.0,23.71111109,17.85,18.0,18.0,18.0,17.5,-27.446666646666667,0.3999999666666696,-0.10733333333333306,-3.822666666666667,-3.916,23.15370369888889,-3.8348888888888872,3.7040246,3.6928434,3.6628277,3.6826904,3.7452579,0,0.0,0,1.0
2023-02-01 17:15:00,285.666350772218,237.013852416666,237.028851849998,23.71111109,-3.916,17.5,2,6.522073963971043,89.46283146990821,17,2,2,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,96.25,136.75,298.4583333333333,14.8,38.15,97.25,54.0,-12.025,1.9571646,0.0,-4.15,23.675925936666665,17.5,17.85,18.0,18.0,17.183333333333334,-27.62711109,0.19444444333333166,0.014000000000000234,-3.93,-3.988,23.448148138888893,-3.8895555555555537,3.7452579,3.7040246,3.6928434,3.6628277,3.6701314,0,0.0,0,1.0
2023-02-01 17:30:00,480.791878672222,186.987242444444,187.001964055556,23.675925936666665,-3.988,17.183333333333334,2,6.522073963971043,89.46283146990821,17,2,2,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,76.5,109.75,263.5416666666667,13.7,37.8,97.5,55.0,-11.95,1.9721631,0.0,-4.3,23.48333334,17.5,17.5,17.85,18.0,17.0,-27.663925936666665,-0.03518515333333383,-0.07200000000000006,-3.916,-4.1386666666666665,23.634567891111107,-3.9446666666666648,3.6701314,3.7452579,3.7040246,3.6928434,3.5913672,0,0.0,0,1.0
