timestamp,total_energy,heat_pump,Tout,hour,hour_sin,hour_cos,max_Tout,min_Tout,avg_Tout,Tout_hourly_mean,Tout_std,total_energy_smoothed,energy_rolling_mean,energy_daily,energy_rolling_std,is_weekend,season,month,spike,total_energy_max
2018-07-09 02:15:00,274.9643327501087,75.83711090087894,11.62499976158125,2,0.49999999999999994,0.8660254037844387,28.5,10.550000190735,18.730208404362127,11.81249976158125,0.1898463998666551,364.41761093139644,295.12988912794344,542.4516516058533,255.46931417860577,0,2,7,-13.221778191460487,3073.79133639865
2018-07-09 02:30:00,290.320777638753,75.82866660224066,11.549999713897499,2,0.49999999999999994,0.8660254037844387,28.5,10.575000286102501,18.740625066061735,11.68749976158125,0.13919412620608046,363.1776663462322,289.2534442901611,542.2688078518266,11.109692757745606,0,2,7,15.356444888644262,3073.79133639865
2018-07-09 02:45:00,359.5855552673339,75.74555519951716,11.47499966621375,2,0.49999999999999994,0.8660254037844387,28.5,10.60000038147,18.750000059604563,11.587499737739375,0.09682464522455433,362.42950053744846,289.2534442901611,543.0721446549451,38.15694998957941,0,2,7,69.26477762858093,3073.79133639865
2018-07-09 03:00:00,402.1372216966412,75.29211061265732,11.39999961853,3,0.7071067811865476,0.7071067811865476,28.5,10.90000033378625,18.758333384990603,11.512499690055623,0.09682464522463882,360.88477867974154,324.9531664530434,544.2001770628823,59.63827509821054,0,2,7,42.55166642930726,3073.79133639865
2018-07-09 03:15:00,397.3358898586694,75.47555575900604,11.62499976158125,3,0.7071067811865476,0.7071067811865476,28.5,11.200000286102501,18.765885462363467,11.512499690055623,0.09682464522463882,360.88477867974154,378.4607225630017,545.1153773042892,51.64909299781476,0,2,7,-4.801331837971759,3073.79133639865
2018-07-09 03:30:00,285.9847773234048,75.58355543348522,11.8499999046325,3,0.7071067811865476,0.7071067811865476,28.5,11.39999961853,18.772656291723155,11.587499737739375,0.19843147449402504,360.88477867974154,378.4607225630017,544.6105856321475,53.670538143616355,0,2,7,-111.35111253526463,3073.79133639865
2018-07-09 03:45:00,275.14822319878436,75.47066667344835,12.07500004768375,3,0.7071067811865476,0.7071067811865476,28.5,11.39999961853,18.778645873069667,11.737499833106876,0.2904739356471728,360.88477867974154,341.6603335910371,542.9940254458674,68.97280618261463,0,2,7,-10.83655412462042,3073.79133639865
2018-07-09 04:00:00,286.45555665757956,75.78199996948237,12.300000190735,4,0.8660254037844386,0.5000000000000001,28.5,11.39999961853,18.783854206403,11.962499976158126,0.29047393564708823,362.42950053744846,286.2201669904922,541.654846048355,57.64030184802842,0,2,7,11.307333458795199,3073.79133639865
2018-07-09 04:15:00,288.0249992370603,76.33522211710611,12.5250000953675,4,0.8660254037844386,0.5000000000000001,28.5,11.39999961853,18.788281289239627,12.187500059604687,0.2904738433078292,362.42950053744846,286.2201669904922,538.9360208034515,5.90159120332524,0,2,7,1.5694425794807216,3073.79133639865
2018-07-09 04:30:00,316.8548887464734,76.22922244601774,12.75,4,0.8660254037844386,0.5000000000000001,28.5,11.39999961853,18.79192712157955,12.412500083446563,0.29047372018883283,362.42950053744846,287.2402779473199,533.7434490486427,17.77371226587857,0,2,7,28.829889509413135,3073.79133639865
2018-07-09 04:45:00,406.1212220085991,75.77255528767897,12.9749999046325,4,0.8660254037844386,0.5000000000000001,28.5,11.39999961853,18.794791703422764,12.63750004768375,0.290473627849555,362.42950053744846,302.4399439917669,529.580688632859,56.267821340740745,0,2,7,89.26633326212567,3073.79133639865
2018-07-09 05:00:00,405.456445227729,75.62166671752934,13.199999809265,5,0.9659258262890683,0.25881904510252074,28.5,11.39999961853,18.796875034769275,12.86249995231625,0.2904736278494713,362.42950053744846,361.1556669871012,525.3998367751086,60.818843613890174,0,2,7,-0.6647767808701133,3073.79133639865
2018-07-09 05:15:00,832.0218918694371,75.40600017971458,13.5999999046325,5,0.9659258262890683,0.25881904510252074,28.5,11.39999961853,18.800781284769275,13.1312499046325,0.36249996053977906,362.42950053744846,405.78883361816406,527.92737385167,231.7623887296601,0,2,7,426.56544664170815,3073.79133639865
2018-07-09 05:30:00,308.18388934665234,75.81044455634225,14.0,5,0.9659258262890683,0.25881904510252074,28.5,11.39999961853,18.806510453422764,13.4437499046325,0.4520209812949589,362.42950053744846,405.78883361816406,524.3436134462003,233.95331210309712,0,2,7,-523.8380025227848,3073.79133639865
2018-07-09 05:45:00,399.3390012953015,76.18422258165151,14.4000000953675,5,0.9659258262890683,0.25881904510252074,28.5,11.39999961853,18.814062540729743,13.79999995231625,0.5163979026146311,362.42950053744846,402.39772326151524,518.7308981771822,234.767162069379,0,2,7,91.15511194864916,3073.79133639865
2018-07-09 06:00:00,426.6895542568632,80.57300016615129,14.800000190735,6,1.0,6.123233995736766e-17,28.5,11.39999961853,18.82343754669021,14.20000004768375,0.5163979026145485,362.42950053744846,413.01427777608234,514.5043530287566,232.5610924026856,0,2,7,27.350552961561675,3073.79133639865
2018-07-09 06:15:00,443.2483320448132,85.20522189670137,15.12500023841875,6,1.0,6.123233995736766e-17,28.5,11.39999961853,18.834114635984015,14.581250131130313,0.4879272685418374,360.88477867974154,413.01427777608234,516.2517546485971,60.239470675587725,0,2,7,16.55877778795002,3073.79133639865
2018-07-09 06:30:00,992.0811102973092,592.0565548366972,15.450000286102501,6,1.0,6.123233995736766e-17,28.5,11.39999961853,18.84609380861115,14.943750202655938,0.44924713598075233,362.42950053744846,434.9689431508382,523.2503321930213,285.06994947236257,0,2,7,548.832778252496,3073.79133639865
2018-07-09 06:45:00,974.54466756185,654.3221110026049,15.77500033378625,6,1.0,6.123233995736766e-17,28.5,11.39999961853,18.85937506457162,15.287500262260625,0.41957325739993323,362.99594408671106,708.8964998033316,522.315980332869,316.7396106399097,0,2,7,-17.536442735459218,3073.79133639865
2018-07-09 07:00:00,884.9115548027886,661.5397766113281,16.10000038147,7,0.9659258262890683,-0.25881904510252063,28.5,11.39999961853,18.873958403865423,15.612500309944375,0.41957325739984874,363.4986114501954,929.7281111823193,527.7927465200424,257.93838933398297,0,2,7,-89.63311275906142,3073.79133639865
