timestamp,timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h,PMV,PPD,Overall_Comfort,hvac_binary
2022-11-07 15:00:00,2022-11-07 15:00:00,105.175237205558,0.0,0.0,22.89999998,13.883333333333333,32.25,1,5.540526691611522,76.71564875425268,15,0,11,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.5000000000000004,0.8660254037844384,435.0,461.25,489.3333333333333,19.0,42.5,0.0,38.0,0.9,4.840155,0.0,14.9,22.73518518,32.6,31.95,31.166666666666668,30.05,31.53333333333333,-9.016666646666668,-0.1166666999999996,-0.1193333333333335,14.002666666666666,13.742666666666668,23.03518518333333,13.974666666666666,6.589765,6.705902,6.6372113,6.5598907,6.3827763,0,4.0,0,0.0,-0.0,5.0,95.0,0
2022-11-07 15:15:00,2022-11-07 15:15:00,118.14638512222,0.0,0.0,22.73518518,13.742666666666668,31.53333333333333,1,5.540526691611522,76.71564875425268,15,0,11,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.5000000000000004,0.8660254037844384,405.25,440.6875,483.1666666666667,19.55,43.475,0.0,39.0,0.7250000000000001,4.803364,0.0,14.35,22.62222221,32.25,32.6,31.95,31.166666666666668,31.95,-8.992518513333332,-0.164814800000002,-0.1406666666666662,13.883333333333333,13.409333333333333,22.88395061333333,13.87622222222222,6.3827763,6.589765,6.705902,6.6372113,6.425356,0,4.0,0,0.0,-0.05,5.0,95.0,0
2022-11-07 15:30:00,2022-11-07 15:30:00,110.498913166668,0.0,0.0,22.62222221,13.409333333333333,31.95,1,5.540526691611522,76.71564875425268,15,0,11,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.5000000000000004,0.8660254037844384,375.5,417.0625,473.5,20.1,44.45,0.0,40.0,0.55,4.7630124,0.0,13.8,22.57222224333333,31.53333333333333,32.25,32.6,31.95,31.683333333333334,-9.212888876666668,-0.1129629699999981,-0.3333333333333339,13.742666666666668,13.126666666666669,22.75246912333333,13.678444444444445,6.425356,6.3827763,6.589765,6.705902,6.353472,0,4.0,0,0.0,-0.07,5.1,94.9,0
2022-11-07 15:45:00,2022-11-07 15:45:00,102.997546500004,0.0,0.0,22.57222224333333,13.126666666666669,31.683333333333334,0,5.540526691611522,76.71564875425268,15,0,11,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.5000000000000004,0.8660254037844384,345.75,390.375,460.3333333333333,20.65,45.425,0.0,41.0,0.3750000000000001,4.7193418,0.0,13.25,22.48888888,31.95,31.53333333333333,32.25,32.6,31.5,-9.445555576666663,-0.0499999666666681,-0.2826666666666657,13.409333333333333,12.88,22.64320987777777,13.426222222222222,6.353472,6.425356,6.3827763,6.589765,6.286559,0,4.0,0,0.0,-0.08,5.1,94.9,0
2022-11-07 16:00:00,2022-11-07 16:00:00,103.24309227778,0.0,0.0,22.48888888,12.88,31.5,0,5.540526691611522,76.71564875425268,16,0,11,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,316.0,360.625,443.6666666666667,21.2,46.4,0.0,42.0,0.2,4.67259,0.0,12.7,22.40555554333333,31.683333333333334,31.95,31.53333333333333,32.25,31.5,-9.60888888,-0.0833333633333346,-0.2466666666666679,13.126666666666669,12.524666666666668,22.561111111111103,13.138666666666666,6.286559,6.353472,6.425356,6.3827763,6.2565327,0,4.0,0,0.0,-0.1,5.2,94.8,0
2022-11-07 16:15:00,2022-11-07 16:15:00,115.681205949998,0.0,0.0,22.40555554333333,12.524666666666668,31.5,1,5.540526691611522,76.71564875425268,16,0,11,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,278.25,328.875,424.0833333333333,20.925,46.4,0.0,41.75,-0.25,4.523681,0.0,12.275,22.32222221,31.5,31.683333333333334,31.95,31.53333333333333,31.65,-9.880888876666663,-0.0833333366666657,-0.3553333333333324,12.88,12.320666666666666,22.48888888888889,12.84377777777778,6.2565327,6.286559,6.353472,6.425356,6.2562814,0,4.0,0,0.0,-0.12,5.3,94.7,0
2022-11-07 16:30:00,2022-11-07 16:30:00,113.55573533889,0.0,0.0,22.32222221,12.320666666666666,31.65,1,5.540526691611522,76.71564875425268,16,0,11,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,240.5,295.125,401.5833333333333,20.65,46.4,0.0,41.5,-0.7,4.3789625,0.0,11.85,22.270370393333334,31.5,31.5,31.683333333333334,31.95,31.65,-10.001555543333334,-0.0833333333333321,-0.2040000000000006,12.524666666666668,12.094,22.405555544444443,12.575111111111111,6.2562814,6.2565327,6.286559,6.353472,6.237652,0,4.0,0,0.0,-0.14,5.4,94.6,0
2022-11-07 16:45:00,2022-11-07 16:45:00,119.769931277776,0.0,0.0,22.270370393333334,12.094,31.65,0,5.540526691611522,76.71564875425268,16,0,11,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.5000000000000004,0.8660254037844384,202.75,259.375,376.1666666666667,20.375,46.4,0.0,41.25,-1.15,4.238334,0.0,11.425,22.16111113,31.65,31.5,31.5,31.683333333333334,30.9,-10.176370393333334,-0.0518518166666659,-0.2266666666666665,12.320666666666666,11.888,22.332716048888887,12.31311111111111,6.237652,6.2562814,6.2565327,6.286559,6.0516663,0,4.0,0,0.0,-0.15,5.5,94.5,0
2022-11-07 17:00:00,2022-11-07 17:00:00,101.93731126111,0.0,0.0,22.16111113,11.888,30.9,0,5.540526691611522,76.71564875425268,17,0,11,-0.9659258262890684,-0.2588190451025206,0.0,1.0,-0.5000000000000004,0.8660254037844384,165.0,221.625,347.8333333333333,20.1,46.4,0.0,41.0,-1.6,4.1016955,0.0,11.0,22.07592595,31.65,31.65,31.5,31.5,30.5,-10.273111129999998,-0.1092592633333353,-0.2059999999999995,12.094,11.678,22.25123457777778,12.100888888888887,6.0516663,6.237652,6.2562814,6.2565327,5.9440904,0,4.0,0,0.0,-0.18,5.7,94.3,0
2022-11-07 17:15:00,2022-11-07 17:15:00,113.227970633336,0.0,0.0,22.07592595,11.678,30.5,0,5.540526691611522,76.71564875425268,17,0,11,-0.9659258262890684,-0.2588190451025206,0.0,1.0,-0.5000000000000004,0.8660254037844384,131.0,184.8125,318.125,19.725,45.7,0.0,41.75,-1.625,4.111485,0.0,10.75,22.03888892,30.9,31.65,31.65,31.5,30.5,-10.397925950000005,-0.0851851799999963,-0.2100000000000008,11.888,11.492,22.16913582444444,11.886666666666663,5.9440904,6.0516663,6.237652,6.2562814,5.9314184,0,4.0,0,0.0,-0.21,5.9,94.1,0
2022-11-07 17:30:00,2022-11-07 17:30:00,112.725213011112,0.0,0.0,22.03888892,11.492,30.5,0,5.540526691611522,76.71564875425268,17,0,11,-0.9659258262890684,-0.2588190451025206,0.0,1.0,-0.5000000000000004,0.8660254037844384,97.0,148.9375,287.0416666666667,19.35,45.0,0.0,42.5,-1.65,4.1198363,0.0,10.5,21.961111086666666,30.5,30.9,31.65,31.65,30.5,-10.54688892,-0.037037030000004,-0.1859999999999999,11.678,11.318666666666669,22.09197533333333,11.686,5.9314184,5.9440904,6.0516663,6.237652,5.904881,0,4.0,0,0.0,-0.22,6.0,94.0,0
2022-11-07 17:45:00,2022-11-07 17:45:00,613.901276333332,0.0,0.0,21.961111086666666,11.318666666666669,30.5,2,5.540526691611522,76.71564875425268,17,0,11,-0.9659258262890684,-0.2588190451025206,0.0,1.0,-0.5000000000000004,0.8660254037844384,62.99999999999999,114.0,254.5833333333333,18.975,44.3,0.0,43.25,-1.675,4.1267877,0.0,10.25,21.89444445,30.5,30.5,30.9,31.65,30.65,-10.64244442,-0.0777778333333323,-0.173333333333332,11.492,11.236,22.025308652222225,11.496222222222222,5.904881,5.9314184,5.9440904,6.0516663,5.9111457,0,4.0,0,0.0,-0.23,6.1,93.9,0
